target_id	length	eff_length	est_counts	tpm
gene-OL67_RS00005	1428	1162.31	1746	48.2077
gene-OL67_RS00010	1122	856.314	3490	130.794
gene-OL67_RS00015	1098	832.314	346	13.3409
gene-OL67_RS00020	621	355.337	49	4.42539
gene-OL67_RS00025	600	334.337	58	5.56724
gene-OL67_RS00030	594	328.337	444	43.397
gene-OL67_RS00035	2418	2152.31	4309	64.2491
gene-OL67_RS00040	828	562.314	1557	88.8599
gene-OL67_RS00045	1080	814.314	679	26.7592
gene-OL67_RS00050	1026	760.314	502	21.1888
rna-OL67_RS00055	1464	1198.31	1303	34.8955
rna-OL67_RS00060	76	18.75	13	22.2504
rna-OL67_RS00065	77	19.75	29.5	47.9348
rna-OL67_RS00070	2828	2562.31	4826	60.4437
rna-OL67_RS00075	115	20.4643	44	69.0005
rna-OL67_RS00080	77	19.75	107	173.865
gene-OL67_RS00085	1347	1081.31	572	16.9762
gene-OL67_RS00090	810	544.314	285	16.8032
gene-OL67_RS00095	945	679.314	642	30.3292
gene-OL67_RS00100	540	274.425	92	10.7587
gene-OL67_RS00105	1518	1252.31	122	3.12639
gene-OL67_RS00110	1485	1219.31	120	3.15836
gene-OL67_RS00115	1260	994.314	92	2.96934
gene-OL67_RS00120	390	127.507	29	7.29892
gene-OL67_RS00125	1512	1246.31	178	4.58341
gene-OL67_RS00130	984	718.314	208	9.29277
gene-OL67_RS00135	855	589.314	77	4.19315
gene-OL67_RS00140	801	535.314	141	8.45291
gene-OL67_RS00145	990	724.314	1166	51.6616
gene-OL67_RS00150	225	27.4036	276	323.22
gene-OL67_RS00155	915	649.314	1019	50.3634
gene-OL67_RS00160	606	340.337	177	16.6902
gene-OL67_RS00165	2265	1999.31	993	15.9391
gene-OL67_RS00170	1290	1024.31	900	28.1972
gene-OL67_RS00175	1458	1192.31	313	8.42461
gene-OL67_RS00180	474	208.742	47	7.22577
gene-OL67_RS00185	1608	1342.31	200	4.78159
gene-OL67_RS00190	816	550.314	138	8.04756
gene-OL67_RS00195	948	682.314	196	9.21866
gene-OL67_RS00200	1185	919.314	56	1.95488
gene-OL67_RS00205	1479	1213.31	817	21.6095
gene-OL67_RS00210	864	598.314	743	39.8525
gene-OL67_RS00215	858	592.314	436	23.6227
gene-OL67_RS00220	1485	1219.31	711	18.7133
gene-OL67_RS00225	1257	991.314	701	22.6936
gene-OL67_RS00230	549	283.397	400	45.2961
gene-OL67_RS00235	465	199.833	7486	1202.2
gene-OL67_RS00240	1038	772.314	355	14.7513
gene-OL67_RS00245	762	496.314	361	23.3425
gene-OL67_RS00250	420	155.949	379	77.9924
gene-OL67_RS00255	633	367.337	2006	175.252
gene-OL67_RS00260	930	664.314	340	16.4249
gene-OL67_RS00265	924	658.314	858	41.8264
gene-OL67_RS00270	1365	1099.31	724	21.1355
gene-OL67_RS00275	588	322.337	400	39.8241
gene-OL67_RS00280	288	49.9287	3078	1978.4
gene-OL67_RS00285	2079	1813.31	1048	18.5475
gene-OL67_RS00290	765	499.314	66	4.24196
gene-OL67_RS00295	2295	2029.31	2721	43.0304
gene-OL67_RS00300	5310	5044.31	2549	16.2168
gene-OL67_RS00305	2028	1762.31	307	5.59051
gene-OL67_RS00310	2061	1795.31	890	15.9091
gene-OL67_RS00315	2919	2653.31	1191	14.4052
gene-OL67_RS00320	924	658.314	650	31.6866
gene-OL67_RS00325	1008	742.314	1786	77.2129
gene-OL67_RS00330	618	352.337	422	38.4371
gene-OL67_RS00335	753	487.314	298	19.6247
gene-OL67_RS00340	270	41.4906	164	126.85
gene-OL67_RS00345	2814	2548.31	3128	39.3922
gene-OL67_RS00350	2055	1789.31	849	15.2271
gene-OL67_RS00355	183	21.8442	205	301.172
gene-OL67_RS00360	933	667.314	111	5.33812
gene-OL67_RS00365	378	116.334	139	38.3445
gene-OL67_RS00370	762	496.314	398	25.7349
gene-OL67_RS00375	645	379.337	705	59.6431
gene-OL67_RS00380	3129	2863.31	2014	22.5729
gene-OL67_RS00385	921	655.314	258	12.6347
gene-OL67_RS00390	945	679.314	5951	281.135
gene-OL67_RS00395	1269	1003.31	732	23.4137
gene-OL67_RS00400	1071	805.314	307	12.234
gene-OL67_RS00405	1242	976.314	1241	40.7923
gene-OL67_RS00410	921	655.314	442	21.6456
gene-OL67_RS00415	621	355.337	354	31.9712
gene-OL67_RS00420	966	700.314	283	12.9685
gene-OL67_RS00425	456	190.96	121	20.3348
gene-OL67_RS00430	1494	1228.31	1167	30.49
gene-OL67_RS00435	834	568.314	580	32.7518
gene-OL67_RS00440	939	673.314	160	7.62603
gene-OL67_RS00445	624	358.337	279	24.9867
gene-OL67_RS00450	549	283.397	81	9.17246
gene-OL67_RS00455	702	436.337	215	15.8129
gene-OL67_RS00460	345	87.8115	542	198.082
gene-OL67_RS00465	846	580.314	270	14.9313
gene-OL67_RS00470	1395	1129.31	1274	36.2035
gene-OL67_RS00475	396	133.144	581	140.04
gene-OL67_RS00480	651	385.337	1287	107.185
gene-OL67_RS00485	1155	889.314	560	20.2083
gene-OL67_RS00490	1179	913.314	55	1.93259
gene-OL67_RS00495	1023	757.314	3547	150.308
gene-OL67_RS00500	336	80.7825	89	35.3565
gene-OL67_RS00505	1593	1327.31	1212	29.3039
gene-OL67_RS00510	1071	805.314	69	2.74967
gene-OL67_RS00515	1032	766.314	198	8.29191
gene-OL67_RS00520	750	484.314	155	10.2707
gene-OL67_RS00525	777	511.314	174	10.9209
gene-OL67_RS00530	1185	919.314	2024	70.655
gene-OL67_RS00535	771	505.314	563	35.7555
gene-OL67_RS00540	1410	1144.31	205	5.74916
gene-OL67_RS00545	435	170.465	358	67.3975
gene-OL67_RS00550	1275	1009.31	485	15.421
gene-OL67_RS00555	1578	1312.31	1112	27.1934
gene-OL67_RS00560	837	571.314	836	46.9599
gene-OL67_RS00565	1677	1411.31	649	14.7576
gene-OL67_RS00570	840	574.314	319	17.8253
gene-OL67_RS00575	1125	859.314	4261	159.131
gene-OL67_RS00580	1113	847.314	189	7.15836
gene-OL67_RS00585	921	655.314	226	11.0676
gene-OL67_RS00590	1326	1060.31	286	8.65621
gene-OL67_RS00595	3450	3184.31	2203	22.2021
gene-OL67_RS00600	2394	2128.31	811	12.2287
gene-OL67_RS00605	621	355.337	60	5.41885
rna-OL67_RS00610	75	17.75	19	34.352
gene-OL67_RS00615	180	21.5616	21	31.2561
gene-OL67_RS00620	1272	1006.31	449	14.3189
gene-OL67_RS00625	477	211.721	375	56.8412
gene-OL67_RS00630	543	277.397	72	8.32965
gene-OL67_RS00635	1302	1036.31	1125	34.8383
gene-OL67_RS00640	480	214.689	623	93.1267
gene-OL67_RS00645	459	193.892	134	22.1789
gene-OL67_RS00650	396	133.144	125	30.1291
gene-OL67_RS00655	591	325.337	31	3.05791
gene-OL67_RS00660	879	613.314	258	13.5
gene-OL67_RS00665	219	26.296	1233	1504.77
gene-OL67_RS00670	582	316.353	445	45.1424
gene-OL67_RS00675	1023	757.314	508	21.527
gene-OL67_RS00680	183	21.8442	112	164.543
rna-OL67_RS00685	75	17.75	25	45.1999
gene-OL67_RS00690	1113	847.314	310	11.7412
gene-OL67_RS00695	216	25.6724	13	16.2508
gene-OL67_RS00700	396	133.144	291	70.1405
gene-OL67_RS00705	243	32.1716	117	116.71
gene-OL67_RS00710	3099	2833.31	2628	29.7664
gene-OL67_RS00715	657	391.337	473	38.7888
gene-OL67_RS00720	429	164.659	573	111.678
gene-OL67_RS00725	366	105.554	941	286.096
gene-OL67_RS00730	420	155.949	494	101.658
gene-OL67_RS00735	390	127.507	33	8.30567
gene-OL67_RS00740	306	60.2238	49	26.111
gene-OL67_RS00745	255	35.5648	10	9.02352
gene-OL67_RS00750	210	24.5051	6	7.85762
gene-OL67_RS00755	1434	1168.31	130	3.57092
gene-OL67_RS00760	555	289.397	223	24.729
gene-OL67_RS00765	300	56.593	50	28.3533
gene-OL67_RS00770	897	631.314	31	1.57584
gene-OL67_RS00775	237	30.2594	4	4.24225
gene-OL67_RS00780	747	481.314	9	0.600081
gene-OL67_RS00785	477	211.721	10	1.51577
gene-OL67_RS00790	1212	946.314	16	0.542601
gene-OL67_RS00795	726	460.314	21	1.46407
gene-OL67_RS00800	288	49.9287	11	7.07031
gene-OL67_RS00805	1335	1069.31	848	25.4499
gene-OL67_RS00810	2058	1792.31	489	8.7557
gene-OL67_RS00815	1386	1120.31	263	7.53376
gene-OL67_RS00820	1578	1312.31	263	6.43153
gene-OL67_RS00825	1026	760.314	298	12.5782
gene-OL67_RS00830	639	373.337	540	46.4183
gene-OL67_RS00835	420	155.949	3585	737.738
gene-OL67_RS00840	789	523.314	305	18.704
gene-OL67_RS00845	951	685.314	354	16.5771
gene-OL67_RS00850	798	532.314	173	10.4298
gene-OL67_RS00855	789	523.314	444	27.228
gene-OL67_RS00860	1197	931.314	319	10.9924
gene-OL67_RS00865	1128	862.314	484.867	18.0448
gene-OL67_RS00870	507	241.564	796	105.749
gene-OL67_RS00875	846	580.314	348	19.2447
gene-OL67_RS00880	162	18.8696	213	362.255
gene-OL67_RS00885	1329	1063.31	311	9.38631
gene-OL67_RS00890	969	703.314	138	6.29689
gene-OL67_RS00895	1272	1006.31	524	16.7107
gene-OL67_RS00900	405	141.54	381	86.3859
gene-OL67_RS00905	1242	976.314	4255	139.864
gene-OL67_RS00910	714	448.337	949	67.9294
gene-OL67_RS00915	1170	904.314	1255	44.537
gene-OL67_RS00920	2367	2101.31	2358	36.0121
gene-OL67_RS00925	1305	1039.31	1461	45.1128
gene-OL67_RS00930	3693	3427.31	21722	203.396
gene-OL67_RS00935	1935	1669.31	8985	172.733
gene-OL67_RS00940	1338	1072.31	2567	76.8245
gene-OL67_RS00945	1509	1243.31	1598	41.247
gene-OL67_RS00950	666	400.337	324	25.9726
gene-OL67_RS00955	1113	847.314	2572	97.4143
gene-OL67_RS00960	2517	2251.31	217	3.09328
gene-OL67_RS00965	402	138.731	89	20.588
gene-OL67_RS00970	837	571.314	451	25.3336
gene-OL67_RS00975	645	379.337	228	19.2888
gene-OL67_RS00980	726	460.314	226	15.7562
gene-OL67_RS00985	426	161.781	132	26.1843
gene-OL67_RS00990	918	652.314	280	13.7752
gene-OL67_RS00995	876	610.314	33	1.73523
gene-OL67_RS01000	1086	820.314	55	2.15168
gene-OL67_RS01005	768	502.314	8	0.511106
gene-OL67_RS01010	774	508.314	30	1.89402
gene-OL67_RS01015	1938	1672.31	97	1.86144
gene-OL67_RS01020	1161	895.314	196	7.02549
gene-OL67_RS01025	918	652.314	319	15.6939
gene-OL67_RS01030	1665	1399.31	18452	423.179
gene-OL67_RS01035	990	724.314	803	35.5783
rna-OL67_RS01040	75	17.75	39	70.5119
gene-OL67_RS01045	972	706.314	218	9.905
gene-OL67_RS01050	1302	1036.31	1681	52.0562
