target_id	length	eff_length	est_counts	tpm
gene-OL67_RS00005	1428	1175.55	2920	77.5017
gene-OL67_RS00010	1122	869.547	4460	160.033
gene-OL67_RS00015	1098	845.547	274	10.1107
gene-OL67_RS00020	621	368.547	47	3.97899
gene-OL67_RS00025	600	347.547	55	4.93761
gene-OL67_RS00030	594	341.547	387	35.3532
gene-OL67_RS00035	2418	2165.55	3625	52.2286
gene-OL67_RS00040	828	575.547	797	43.2062
gene-OL67_RS00045	1080	827.547	340	12.819
gene-OL67_RS00050	1026	773.547	275	11.0921
rna-OL67_RS00055	1464	1211.55	10782.8	277.688
rna-OL67_RS00060	76	14.75	4	8.46128
rna-OL67_RS00065	77	9.42857	63.75	210.961
rna-OL67_RS00070	2828	2575.55	18657.8	226.026
rna-OL67_RS00075	115	19.0612	17.5	28.6454
rna-OL67_RS00080	77	9.42857	19.5	64.5293
gene-OL67_RS00085	1347	1094.55	658	18.7568
gene-OL67_RS00090	810	557.547	265	14.8297
gene-OL67_RS00095	945	692.547	389	17.5254
gene-OL67_RS00100	540	287.578	45	4.8823
gene-OL67_RS00105	1518	1265.55	94	2.31749
gene-OL67_RS00110	1485	1232.55	107	2.70862
gene-OL67_RS00115	1260	1007.55	86	2.66318
gene-OL67_RS00120	390	138.615	6	1.35055
gene-OL67_RS00125	1512	1259.55	144	3.56711
gene-OL67_RS00130	984	731.547	140	5.97109
gene-OL67_RS00135	855	602.547	53	2.74444
gene-OL67_RS00140	801	548.547	75	4.26595
gene-OL67_RS00145	990	737.547	1568	66.3322
gene-OL67_RS00150	225	27.5832	236	266.954
gene-OL67_RS00155	915	662.547	996	46.9041
gene-OL67_RS00160	606	353.547	170	15.0027
gene-OL67_RS00165	2265	2012.55	1550	24.03
gene-OL67_RS00170	1290	1037.55	988	29.711
gene-OL67_RS00175	1458	1205.55	304	7.86788
gene-OL67_RS00180	474	221.637	70	9.85426
gene-OL67_RS00185	1608	1355.55	261	6.0075
gene-OL67_RS00190	816	563.547	163	9.02455
gene-OL67_RS00195	948	695.547	199	8.92678
gene-OL67_RS00200	1185	932.547	42	1.40523
gene-OL67_RS00205	1479	1226.55	1353	34.4177
