## Fri Dec  2 12:43:26 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_dtjj1h_k/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-OL67_RS00005	391619.PGA1_c00010	0.0	924.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2TT03@28211|Alphaproteobacteria,34E9J@302485|Phaeobacter	28211|Alphaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
gene-OL67_RS00010	391619.PGA1_c00020	2.4e-256	704.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2TSRZ@28211|Alphaproteobacteria,34EDK@302485|Phaeobacter	28211|Alphaproteobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
gene-OL67_RS00015	391619.PGA1_c00030	1.44e-253	696.0	COG1195@1|root,COG1195@2|Bacteria,1MX8N@1224|Proteobacteria,2TQRD@28211|Alphaproteobacteria,34E9U@302485|Phaeobacter	28211|Alphaproteobacteria	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	-	-	ko:K03629	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	AAA_21,AAA_23,SMC_N
gene-OL67_RS00020	391619.PGA1_c00040	7.8e-142	400.0	COG1280@1|root,COG1280@2|Bacteria,1RAI3@1224|Proteobacteria,2U7PZ@28211|Alphaproteobacteria,34ET9@302485|Phaeobacter	28211|Alphaproteobacteria	E	LysE type translocator	leuE	-	-	-	-	-	-	-	-	-	-	-	LysE
gene-OL67_RS00025	391619.PGA1_c00050	1.28e-123	354.0	COG1309@1|root,COG1309@2|Bacteria,1RD6D@1224|Proteobacteria,2U7SJ@28211|Alphaproteobacteria,34FMG@302485|Phaeobacter	28211|Alphaproteobacteria	K	Bacterial regulatory proteins, tetR family	-	-	-	-	-	-	-	-	-	-	-	-	TetR_N
gene-OL67_RS00030	391619.PGA1_c00060	4.05e-135	383.0	COG2249@1|root,COG2249@2|Bacteria,1RA5X@1224|Proteobacteria,2U7JU@28211|Alphaproteobacteria,34FK8@302485|Phaeobacter	28211|Alphaproteobacteria	S	Flavodoxin-like fold	-	-	-	-	-	-	-	-	-	-	-	-	Flavodoxin_2
gene-OL67_RS00035	1423144.Gal_00007	0.0	1586.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2TRBK@28211|Alphaproteobacteria,34EFT@302485|Phaeobacter	28211|Alphaproteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
gene-OL67_RS00040	391619.PGA1_c00080	2.99e-155	440.0	28NM0@1|root,2ZBMM@2|Bacteria,1RAGK@1224|Proteobacteria,2U5H6@28211|Alphaproteobacteria,34FXN@302485|Phaeobacter	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gene-OL67_RS00045	391619.PGA1_c00090	2.34e-265	726.0	COG0834@1|root,COG1652@1|root,COG0834@2|Bacteria,COG1652@2|Bacteria,1N3UB@1224|Proteobacteria,2U3GV@28211|Alphaproteobacteria,34EQ1@302485|Phaeobacter	28211|Alphaproteobacteria	ET	Lysin motif	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	LysM,SBP_bac_3
gene-OL67_RS00050	1423144.Gal_00010	1.22e-251	689.0	COG0834@1|root,COG1652@1|root,COG0834@2|Bacteria,COG1652@2|Bacteria,1N3UB@1224|Proteobacteria,2U07Y@28211|Alphaproteobacteria,34EY9@302485|Phaeobacter	28211|Alphaproteobacteria	ET	Bacterial extracellular solute-binding proteins, family 3	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	LysM,SBP_bac_3
